,abv,brewery_location,brewery_name,ibu,id,name,size,style
48,7.1%,"Denver, CO",Great Divide Brewing Company,N/A,2642,Titan IPA,12 oz.,American IPA
49,6.5%,"Bridgman, MI",Tapistry Brewing,35,2640,Peck's Porter,16 oz.,American Porter
50,8.0%,"Holland, MI",Big Lake Brewing,54,2639,Dark Star,16 oz.,American Stout
51,5.2%,"Grand Rapids, MI",The Mitten Brewing Company,N/A,2638,G. B. Russo’s Italian Pistachio Pale Ale,16 oz.,American Pale Ale (APA)
52,6.7%,"Grand Rapids, MI",Brewery Vivant,N/A,2637,Belfort,16 oz.,Saison / Farmhouse Ale
53,6.0%,"Grand Rapids, MI",Brewery Vivant,N/A,2636,Star Runner,16 oz.,Belgian Pale Ale
54,4.1%,"Petoskey, MI",Petoskey Brewing,12,2635,Sparkle,16 oz.,American Pale Lager
55,4.8%,"Marquette, MI",Blackrocks Brewery,47,2634,Nordskye ,12 oz.,American IPA
56,5.5%,"Comstock Park, MI",Perrin Brewing Company,10,2633,Hotbox Brown,12 oz.,American Brown Ale
57,4.8%,"Comstock Park, MI",Perrin Brewing Company,15,2632,Gold,12 oz.,American Blonde Ale
58,5.8%,"Comstock Park, MI",Perrin Brewing Company,N/A,2631,Black,12 oz.,American Black Ale
59,6.5%,"Comstock Park, MI",Perrin Brewing Company,65,2630,98 Problems (Cuz A Hop Ain't One),12 oz.,American IPA
60,5.0%,"Comstock Park, MI",Perrin Brewing Company,40,2629,Veteran’s Pale Ale (VPA),12 oz.,American Pale Ale (APA)
61,5.0%,"Comstock Park, MI",Perrin Brewing Company,35,2628,Grapefruit IPA,12 oz.,American IPA
62,5.8%,"South Lyon, MI",Witch's Hat Brewing Company,72,2627,Train Hopper,12 oz.,American IPA
63,4.5%,"South Lyon, MI",Witch's Hat Brewing Company,N/A,2626,Edward’s Portly Brown,12 oz.,American Brown Ale
64,8.5%,"Grand Rapids, MI",Founders Brewing Company,50,2625,Dirty Bastard,12 oz.,Scotch Ale / Wee Heavy
65,6.5%,"Indianapolis, IN",Flat 12 Bierwerks,N/A,2624,Deflator,16 oz.,Doppelbock
66,5.8%,"Evansville, IN",Tin Man Brewing Company,20,2623,Cafe Leche,16 oz.,American Porter
67,5.2%,"Evansville, IN",Tin Man Brewing Company,12,2622,Damascene Apricot Sour,16 oz.,Fruit / Vegetable Beer
68,12.0%,"Evansville, IN",Tin Man Brewing Company,90,2621,Csar,16 oz.,Russian Imperial Stout
69,7.2%,"Indianapolis, IN",Black Acre Brewing Co.,75,2620,Saucy Intruder,16 oz.,Rye Beer
70,5.8%,"Plainfield, IN",Brew Link Brewing,N/A,2619,Insert Hop Reference,16 oz.,American Pale Ale (APA)
71,7.0%,"Granger, IN",Bare Hands Brewery,46,2618,Thai.p.a,16 oz.,American IPA
72,5.5%,"Martinsville, IN",Three Pints Brewing,64,2617,Citra Faced,16 oz.,American Pale Wheat Ale
73,5.5%,"Martinsville, IN",Three Pints Brewing,31,2616,Pole Barn Stout,16 oz.,Oatmeal Stout
74,5.4%,"Martinsville, IN",Three Pints Brewing,37,2615,Pale,16 oz.,American Pale Ale (APA)
75,5.3%,"Martinsville, IN",Three Pints Brewing,27,2614,Yoshi's Nectar,16 oz.,California Common / Steam Beer
76,5.5%,"Valparaiso, IN",Four Fathers Brewing ,N/A,2613,Feel Like Maplin' Love,16 oz.,Oatmeal Stout
77,5.0%,"Valparaiso, IN",Four Fathers Brewing ,N/A,2612,Father's Beer,16 oz.,Belgian Pale Ale
78,6.0%,"Valparaiso, IN",Four Fathers Brewing ,N/A,2611,The 26th,16 oz.,American IPA
79,6.4%,"Valparaiso, IN",Four Fathers Brewing ,90,2610,The Gadget,16 oz.,American IPA
80,5.8%,"Indianapolis, IN",Indiana City Brewing,58,2609,Tribute,12 oz.,American Pale Ale (APA)
81,6.5%,"Michigan City, IN",Burn 'Em Brewing,N/A,2608,Wrath of Pele,16 oz.,American Brown Ale
82,6.8%,"Michigan City, IN",Burn 'Em Brewing,N/A,2607,Black Beer'd,16 oz.,American Black Ale
83,7.8%,"Michigan City, IN",Burn 'Em Brewing,N/A,2606,Mr. Tea,24 oz.,Fruit / Vegetable Beer
84,5.2%,"Indianapolis, IN",Sun King Brewing Company,29,2605,Tip Off,16 oz.,Altbier
85,4.9%,"Mishawaka, IN",Evil Czech Brewery,23,2604,Blonde Czich,16 oz.,American Blonde Ale
86,6.5%,"Columbus, IN",450 North Brewing Company,N/A,2603,Galaxyfest,16 oz.,American IPA
87,5.0%,"Columbus, IN",450 North Brewing Company,45,2602,Citrafest,16 oz.,American IPA
88,8.0%,"Bargersville, IN",Taxman Brewing Company,22,2601,Deduction,12 oz.,Dubbel
89,8.5%,"Seven Points, TX",Cedar Creek Brewery,90,2600,Gone A-Rye,16 oz.,American Double / Imperial IPA
90,6.9%,"Chandler, AZ",SanTan Brewing Company,20,2599,Sex Panther,12 oz.,American Porter
91,9.8%,"Grand Rapids, MI",Brewery Vivant,N/A,2598,Tart Side of the Barrel,16 oz.,American Double / Imperial Stout
92,6.0%,"Grand Rapids, MI",Brewery Vivant,N/A,2597,Linnaeus Mango IPA,16 oz.,American IPA
93,6.2%,"Kansas City, MO",Boulevard Brewing Company,80,2596,Heavy Lifting,12 oz.,American IPA
94,???,"Stevens Point, WI",James Page Brewing Company,N/A,2595,Bastian,12 oz.,American Strong Ale
95,5.2%,"Torrance, CA",The Dudes' Brewing Company,35,2594,Surfrider,16 oz.,American Pale Ale (APA)
96,7.0%,"San Diego, CA",Ballast Point Brewing Company,N/A,2593,Grapefruit Sculpin,12 oz.,American IPA
97,5.9%,"San Francisco, CA",Anchor Brewing Company,N/A,2592,Liberty Ale,12 oz,American IPA
98,4.5%,"Buellton, CA",Figueroa Mountain Brewing Company,N/A,2591,Weiss Weiss Baby,12 oz.,Kristalweizen
99,5.5%,"Buellton, CA",Figueroa Mountain Brewing Company,45,2590,Czech Yo Self,12 oz.,Czech Pilsener
100,8.0%,"Boulder, CO",Avery Brewing Company,N/A,2589,Raja,12 oz.,American Double / Imperial IPA
101,5.4%,"Dripping Springs, TX",Twisted X Brewing Company,26,2588,Cow Creek,12 oz.,American Amber / Red Lager
102,7.0%,"Kalamazoo, MI",Gonzo's BiggDogg Brewing,11,2587,Vanilla Porter,16 oz.,American Porter
103,6.0%,"Murphysboro, IL",Big Muddy Brewing,N/A,2586,Blueberry Blonde,12 oz.,Fruit / Vegetable Beer
104,7.5%,"Murphysboro, IL",Big Muddy Brewing,60,2585,Galaxy IPA,16 oz.,American IPA
105,4.6%,"East Fairfield, VT",Lost Nation Brewing,8,2584,Gose,16 oz.,Gose
106,4.8%,"East Fairfield, VT",Lost Nation Brewing,20,2583,Vermont Pilsner,16 oz.,German Pilsener
107,5.5%,"East Fairfield, VT",Lost Nation Brewing,N/A,2582,Mosaic Single Hop IPA,16 oz.,American IPA
108,4.5%,"East Fairfield, VT",Lost Nation Brewing,N/A,2581,Lost Galaxy,16 oz.,American IPA
109,3.5%,"Portland, ME",Rising Tide Brewing Company,N/A,2580,Gose,16 oz.,Gose
110,5.0%,"Export, PA",Rivertowne Brewing Company,100,2579,Jah Mon,12 oz.,American IPA
111,6.5%,"San Francisco, CA",Anchor Brewing Company,N/A,2578,IPA,12 oz.,American IPA
112,4.5%,"San Francisco, CA",Anchor Brewing Company,N/A,2577,Summer Wheat,12 oz.,American Pale Wheat Ale
113,5.5%,"Chicago, IL",Revolution Brewing Company,40,2576,Fist City,12 oz.,American Pale Ale (APA)
114,8.5%,"Manhattan, KS",Tallgrass Brewing Company,34,2575,Wooden Rooster,16.9 oz.,Tripel
115,10.0%,"Brooklyn, NY",Sixpoint Craft Ales,52,2574,4Beans,12 oz.,Baltic Porter
116,5.5%,"Hooksett, NH",White Birch Brewing,N/A,2573,Raspberry Berliner Weisse,12 oz.,Berliner Weissbier
117,5.0%,"Hooksett, NH",White Birch Brewing,N/A,2572,Hop Session,12 oz.,American IPA
118,5.5%,"Hooksett, NH",White Birch Brewing,N/A,2571,Blueberry Berliner Weisse,12 oz.,Berliner Weissbier
119,5.5%,"Hooksett, NH",White Birch Brewing,N/A,2570,Berliner Weisse,12 oz.,Berliner Weissbier
120,4.5%,"Paso Robles, CA",Firestone Walker Brewing Company,47,2569,Easy Jack,12 oz.,American IPA
121,5.5%,"Atlanta, GA",SweetWater Brewing Company,35,2568,Take Two Pils,12 oz.,German Pilsener
122,4.0%,"Troutville, VA",Flying Mouse Brewery,N/A,2567,Flying Mouse 8,12 oz.,American Porter
123,7.0%,"Troutville, VA",Flying Mouse Brewery,70,2566,Flying Mouse 4,12 oz. ,American IPA
124,12.8%,"Boulder, CO",Upslope Brewing Company,N/A,2565,Lee Hill Series Vol. 5 - Belgian Style Quadrupel Ale,19.2 oz.,Quadrupel (Quad)
125,10.4%,"Boulder, CO",Upslope Brewing Company,N/A,2564,Lee Hill Series Vol. 4 - Manhattan Style Rye Ale,19.2 oz.,Rye Beer
126,6.8%,"Boulder, CO",Upslope Brewing Company,24,2563,Lee Hill Series Vol. 2 - Wild Saison,19.2 oz.,American Wild Ale
127,9.9%,"Boulder, CO",Upslope Brewing Company,51,2562,Lee Hill Series Vol. 3 - Barrel Aged Imperial Stout,19.2 oz.,American Double / Imperial Stout
128,7.6%,"Boulder, CO",Upslope Brewing Company,N/A,2561,Lee Hill Series Vol. 1 - Barrel Aged Brown Ale,19.2 oz.,American Brown Ale
129,6.0%,"Boulder, CO",Upslope Brewing Company,N/A,2560,Blood Orange Saison,12 oz. ,Saison / Farmhouse Ale
130,6.5%,"Chicago, IL",Pipeworks Brewing Company,N/A,2559,Blood of the Unicorn,16 oz.,American Amber / Red Ale
131,4.4%,"Roseville, MN",Bent Brewstillery,44,2558,Moar,12 oz.,English India Pale Ale (IPA)
132,8.3%,"Roseville, MN",Bent Brewstillery,N/A,2557,Uber Lupin Schwarz IPA,16 oz.,American Double / Imperial IPA
133,5.7%,"Roseville, MN",Bent Brewstillery,27,2556,Nordic Blonde,12 oz.,American Blonde Ale
134,4.8%,"Manhattan, KS",Tallgrass Brewing Company,20,2555,Ginger Peach Saison,16 oz.,Saison / Farmhouse Ale
135,5.5%,"Lombard, IL",Flesk Brewing Company,N/A,2554,Moped Traveler,16 oz.,American Pale Ale (APA)
136,5.4%,"Lemont, IL",Pollyanna Brewing Company,45,2553,Mazzie,12 oz.,American Pale Ale (APA)
137,4.5%,"Lyons, IL",BuckleDown Brewing,N/A,2552,Painted Turtle,12 oz.,American Pale Ale (APA)
138,5.7%,"Atlanta, GA",SweetWater Brewing Company,N/A,2551,Waterkeeper,12 oz.,Hefeweizen
139,5.2%,"Bloomington, IL",Destihl Brewery,16,2550,Weissenheimer,12 oz.,Hefeweizen
140,5.3%,"St. Paul, MN",Summit Brewing Company,40,2549,Make It So,12 oz.,Extra Special / Strong Bitter (ESB)
141,7.0%,"Grand Rapids, MI",Brewery Vivant,N/A,2548,Beasts A'Burnin',16 oz.,Rauchbier
142,4.5%,"Portage, MI",Latitude 42 Brewing Company,N/A,2547,Beach Cruiser,12 oz.,Hefeweizen
143,6.4%,"Boulder, CO",Avery Brewing Company,N/A,2546,Perzik Saison,12 oz.,Saison / Farmhouse Ale
144,3.5%,"Saint Louis, MO",4 Hands Brewing Company,11,2545,Passion Fruit Prussia,12 oz.,Berliner Weissbier
145,4.5%,"Saint Louis, MO",4 Hands Brewing Company,18,2544,Send Help,12 oz.,American Blonde Ale
146,7.2%,"Brooklyn Center, MN",Surly Brewing Company,N/A,2543,Todd the Axe Man,16 oz.,American IPA
147,7.7%,"Grand Rapids, MI",Brewery Vivant,N/A,2542,Verdun,16 oz.,Bière de Garde
148,6.5%,"Grand Rapids, MI",Brewery Vivant,N/A,2541,Barrel Aged Triomphe,16 oz.,Belgian IPA
149,8.2%,"Louisville, KY",Against The Grain Brewery,68,2540,Citra Ass Down,16 oz.,American IPA
150,5.0%,"Louisville, KY",Against The Grain Brewery,20,2539,The Brown Note,16 oz.,American Brown Ale
151,6.0%,"Edwards, CO",Crazy Mountain Brewing Company,46,2538,Neomexicanus Native,12 oz.,American Pale Ale (APA)
152,8.5%,"Chicago, IL",SlapShot Brewing Company,N/A,2537,Monkey Dancing On A Razor Blade,24 oz.,Belgian IPA
153,8.2%,"Chicago, IL",SlapShot Brewing Company,N/A,2536,Tripel Deke,24 oz.,Tripel
154,8.3%,"Chicago, IL",Mikerphone Brewing,N/A,2535,Vinyl Frontier,24 oz.,American Double / Imperial IPA
155,8.0%,"Chicago, IL",Mikerphone Brewing,N/A,2534,Disco Superfly,24 oz.,American IPA
156,7.5%,"Chicago, IL",Mikerphone Brewing,N/A,2533,Misty Mountain Hop,24 oz.,American IPA
157,7.5%,"Chicago, IL",Mikerphone Brewing,N/A,2532,One-Hit Wonderful,24 oz.,Belgian IPA
158,6.5%,"Chicago, IL",Mikerphone Brewing,N/A,2531,En Parfaite Harmonie,24 oz.,Saison / Farmhouse Ale
159,4.3%,"Chicago, IL",Mikerphone Brewing,8,2530,Daft Funk,24 oz.,Berliner Weissbier
160,7.5%,"Chicago, IL",Mikerphone Brewing,N/A,2529,Love In An Ellavator,24 oz.,American IPA
161,5.3%,"Chicago, IL",Mikerphone Brewing,N/A,2528,Spin Doctor,24 oz.,American Pale Ale (APA)
162,5.3%,"San Antonio, TX",Freetail Brewing Company,27,2527,OktoberFiesta,12 oz.,
163,6.5%,"San Antonio, TX",Freetail Brewing Company,33,2526,Texicali ,12 oz.,American Brown Ale
164,6.0%,"San Antonio, TX",Freetail Brewing Company,N/A,2525,Pinata Protest,12 oz.,Witbier
165,4.2%,"San Antonio, TX",Freetail Brewing Company,20,2524,Bat Outta Helles,12 oz.,Munich Helles Lager
166,6.8%,"San Antonio, TX",Freetail Brewing Company,N/A,2523,Original,12 oz.,American Amber / Red Ale
167,4.2%,"San Antonio, TX",Freetail Brewing Company,10,2522,Rye Wit,12 oz.,Witbier
168,5.9%,"San Antonio, TX",Freetail Brewing Company,70,2521,Soul Doubt,12 oz.,American IPA
169,4.4%,"San Antonio, TX",Freetail Brewing Company,5,2520,Yo Soy Un Berliner,12 oz.,Berliner Weissbier
170,7.0%,"St Petersburg, FL",3 Daughters Brewing,82,2519,Bimini Twist,12 oz.,American IPA
171,5.0%,"St Petersburg, FL",3 Daughters Brewing,N/A,2518,Beach Blonde,12 oz.,American Blonde Ale
172,5.9%,"St Petersburg, FL",3 Daughters Brewing,N/A,2517,Rod Bender Red,12 oz.,American Amber / Red Ale
173,5.1%,"Mt. Airy, MD",Red Shedman Farm Brewery and Hop...,17,2516,Farmer's Daughter Blonde,16 oz.,American Blonde Ale
174,5.5%,"Mt. Airy, MD",Red Shedman Farm Brewery and Hop...,45,2515,Pump House IPA,16 oz.,American IPA
175,7.0%,"Mt. Airy, MD",Red Shedman Farm Brewery and Hop...,N/A,2514,Suicide Blonde IPA,16 oz.,Belgian IPA
176,4.7%,"Mt. Airy, MD",Red Shedman Farm Brewery and Hop...,25,2513,Vanilla Porter,16 oz.,American Porter
177,5.8%,"Mt. Airy, MD",Red Shedman Farm Brewery and Hop...,18,2512,Honey Rye,16 oz.,Rye Beer
178,7.1%,"Boone, NC",Appalachian Mountain Brewery,75,2511,Long Leaf,16 oz.,American IPA
179,4.7%,"Boone, NC",Appalachian Mountain Brewery,19,2510,Honey Badger Blonde,16 oz.,American Blonde Ale
180,6.0%,"Boone, NC",Appalachian Mountain Brewery,23,2509,Porter (a/k/a Black Gold Porter),16 oz.,American Porter
181,5.5%,"Charlotte, NC",Birdsong Brewing Company,45,2508,Jalapeno Pale Ale,16 oz.,American Pale Ale (APA)
182,8.5%,"Baltimore, MD",Union Craft Brewing,90,2507,Double Duckpin,12 oz.,American Double / Imperial IPA
183,4.2%,"Baltimore, MD",Union Craft Brewing,10,2506,Old Pro,12 oz.,Gose
184,4.9%,"Bloomington, IL",Destihl Brewery,22,2505,Abbey's Single (2015- ),12 oz.,Abbey Single Ale
185,6.5%,"Grand Rapids, MI",Brewery Vivant,N/A,2504,Cherry Doppelbock,16 oz.,Doppelbock
186,7.5%,"Detroit, MI",Atwater Brewery,115,2503,Hop A-Peel,16 oz.,American Double / Imperial IPA
187,5.5%,"Detroit, MI",Atwater Brewery,12,2502,Vanilla Java Porter,16 oz.,American Porter
188,5.7%,"Madison, WI",Ale Asylum,N/A,2501,Hopalicious,12 oz.,American Pale Ale (APA)
189,6.5%,"Grand Rapids, MI",Brewery Vivant,N/A,2500,Tropical Saison,16 oz.,Saison / Farmhouse Ale
190,6.5%,"Grand Rapids, MI",Brewery Vivant,N/A,2499,Beach Patrol,16 oz.,Witbier
191,5.0%,"Grand Rapids, MI",Brewery Vivant,N/A,2498,Nuit Serpent,16 oz.,Belgian IPA
192,6.3%,"Warrenville, IL",Two Brothers Brewing Company,69,2497,Wobble,16 oz.,American IPA
193,6.0%,"Duluth, MN",Bent Paddle Brewing Company,N/A,2496,Cold Press,12 oz.,American Black Ale
194,5.2%,"Detroit, MI",Atwater Brewery,N/A,2495,Michelada,16 oz.,Fruit / Vegetable Beer
195,5.8%,"Kalamazoo, MI",Bell's Brewery,N/A,2494,Oberon,12 OZ.,American Pale Wheat Ale
196,6.8%,"Portage, MI",Latitude 42 Brewing Company,N/A,2493,I.P. Eh!,12 oz.,American IPA
197,5.0%,"Portage, MI",Latitude 42 Brewing Company,N/A,2492,Schoolhouse Honey,12 oz.,American Amber / Red Ale
198,5.5%,"Portage, MI",Latitude 42 Brewing Company,N/A,2491,10 Degrees of Separation,12 oz.,English Brown Ale
199,???,"Austin, TX",Blue Owl Brewing,N/A,2490,Professor Black,12 oz. ,American Stout
200,???,"Austin, TX",Blue Owl Brewing,N/A,2489,Little Boss,12 oz. ,American Pale Wheat Ale
201,???,"Austin, TX",Blue Owl Brewing,N/A,2488,Van Dayum!,12 oz.,American Amber / Red Ale
202,???,"Austin, TX",Blue Owl Brewing,N/A,2487,Spirit Animal,12 oz.,American Pale Ale (APA)
203,4.7%,"San Francisco, CA",Speakasy Ales & Lagers,35,2486,Baby Daddy Session IPA,12 oz.,American IPA
204,4.8%,"Sheridan, WY",Black Tooth Brewing Company,16,2485,Saddle Bronc Brown Ale,12 oz. ,American Brown Ale
205,4.6%,"Sheridan, WY",Black Tooth Brewing Company,20,2484,Bomber Mountain Amber Ale,12 oz.,American Amber / Red Ale
206,6.8%,"Portland, OR",Hopworks Urban Brewery,N/A,2483,Hard Cider,16 oz.,Cider
207,2.7%,"Portland, OR",Hopworks Urban Brewery,21,2482,Totally Radler,16 oz.,Radler
208,9.0%,"Grand Rapids, MI",Brewery Vivant,N/A,2481,Paris,16 oz.,Saison / Farmhouse Ale
209,4.5%,"Stevens Point, WI",James Page Brewing Company,N/A,2480,Healani,12 oz.,Hefeweizen
210,4.2%,"Brooklyn, NY",Sixpoint Craft Ales,16,2479,Jammer,12 oz. Slimline,Gose
211,5.5%,"Michigan City, IN",Burn 'Em Brewing,40,2478,Pale Alement,12 oz.,American Pale Ale (APA)
212,5.2%,"Denver, CO",Epic Brewing,N/A,2477,Lil' Brainless Raspberries,12 oz.,Fruit / Vegetable Beer
213,5.5%,"Grand Rapids, MI",Brewery Vivant,N/A,2476,The Grand Army,16 oz.,Belgian IPA
214,4.5%,"Fort Collins, CO",New Belgium Brewing Company,40,2475,Slow Ride,12 oz.,American IPA
215,5.2%,"Chico, CA",Sierra Nevada Brewing Company,N/A,2474,Nooner,12 oz.,German Pilsener
216,4.7%,"St. Paul, MN",Summit Brewing Company,55,2473,Hopvale Organic Ale,16 oz.,American Pale Ale (APA)
217,???,"Houghton, MI",Keweenaw Brewing Company,N/A,2472,U. P. Witbier,12 oz.,Witbier
218,9.9%,"Michigan City, IN",Burn 'Em Brewing,115,2471,Hopkick Dropkick,12 oz.,American Double / Imperial IPA
219,6.0%,"Michigan City, IN",Burn 'Em Brewing,N/A,2470,Kreamed Corn,12 oz.,Cream Ale
220,6.2%,"Holland, MI",Big Lake Brewing,N/A,2469,Ryecoe,16 oz.,American IPA
221,5.3%,"Traverse City, MI",Brewery Terra Firma,N/A,2468,Manitou Amber,16 oz.,American Amber / Red Ale
222,5.9%,"Grand Rapids, MI",Brewery Vivant,N/A,2467,Acidulated Trip,16 oz.,Saison / Farmhouse Ale
223,6.6%,"Grand Rapids, MI",Brewery Vivant,N/A,2466,Root Stock,16 oz.,Rye Beer
224,4.1%,"Grand Rapids, MI",Brewery Vivant,N/A,2465,Mind Games,16 oz.,Dunkelweizen
225,6.5%,"Michigan City, IN",Burn 'Em Brewing,N/A,2464,Coconoats,16 oz.,American Pale Wheat Ale
226,7.5%,"Paso Robles, CA",Firestone Walker Brewing Company,75,2463,Union Jack,12 oz.,American IPA
227,5.3%,"Paso Robles, CA",Firestone Walker Brewing Company,N/A,2462,Pivo Pils,12 oz.,German Pilsener
228,5.8%,"Westerly, RI",Grey Sail Brewing Company,N/A,2461,Autumn Winds Fest Beer,16 oz,Märzen / Oktoberfest
229,6.3%,"Kirkwood, MO",Kirkwood Station Brewing Company,65,2460,India Pale Ale,16 oz.,American IPA
230,4.8%,"Kirkwood, MO",Kirkwood Station Brewing Company,11,2459,Blackberry Wheat,16 oz.,American Pale Wheat Ale
231,7.5%,"Dripping Springs, TX",Twisted X Brewing Company,63,2458,Chupahopra,12 oz.,American IPA
232,5.4%,"Chicago, IL",Goose Island Brewing Company,30,2457,312 Urban Pale Ale,16 oz.,American Pale Ale (APA)
233,6.1%,"East Windsor, CT",Broad Brook Brewing LLC,N/A,2456,Broad Brook Ale,16 oz.,American Amber / Red Ale
234,4.5%,"Wilkes-Barre, PA",The Lion Brewery,N/A,2455,Lionshead,12 oz.,American Pilsner
235,9.9%,"Cincinnati, OH",Madtree Brewing Company,N/A,2454,Galaxy High,12 oz.,American Double / Imperial IPA
236,5.5%,"Athens, OH",Jackie O's Pub & Brewery,N/A,2453,Razz Wheat,12 oz.,Fruit / Vegetable Beer
237,5.7%,"Cincinnati, OH",Rhinegeist Brewery,42,2452,Hustle,12 oz.,American Amber / Red Ale
238,5.5%,"Cincinnati, OH",Rhinegeist Brewery,42,2451,Pure Fury,12 oz.,American Pale Ale (APA)
239,5.2%,"Dayton, OH",Warped Wing Brewing Company,67,2450,Self Starter,16 oz.,American IPA
240,7.3%,"Marquette, MA",Blackrocks Brewery,N/A,2449,Flying Sailor,12 oz.,Rye Beer
